ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
190	1236	WHAT	saakaa	what;  interrogative that questions the identity of an inanimate argument; something or anything	what	what-1
191	1238	WHEN	jɨɨ́tikari	when; when; however long;  for an indefinite;  and generally significant temporal duration	when	when-1
192	1237	WHERE	tɨɨti	where; where; wherever;  any place;  this element is used to express indefinite locations;  to where	where	where-2
193	1335	WHITE	musútina	 clear; white;  speaking of solid or opaque entities;  not turbid;  when speaking of water	white	white-3
194	1235	WHO	kánɨɨka	who; someone;  interrogative used to question the identity of an animate argument	who	who-2
195	1243	WIDE	parina	 e g ;  e g ; wide or broad;  speaking of relatively flat objects;  a plank or a piece of fabric;  or of spaces that can construed as two dimensional extensions;  a path or a river; width	wide or broad	wideorbroad-1
196	1199	WIFE	majáana	wife;  referential term	wife	wife-1
197	960	WIND	akíraja	wind or breeze	wind or breeze	windorbreeze-1
198	1257	WING	námaku	 be it of a bird; wing;  bat;  insect;  or aeroplane	wing	wing-1
199	1454	WIPE	pɨ́ɨni	wipe or clean oneself after defecating	wipe or clean oneself after defecating	wipeorcleanoneselfafterdefecating-1
200	1340	WITH	=jata	with;  with; with;  in the company of; while;  used to indicate temporal overlap between eventualities;  indicates that something serves as an instrument or tool	with	with-1
201	962	WOMAN	mɨɨsaji	woman;  adult human female; female	woman	woman-1
202	1219	WORM				
203	1226	YEAR	amáriyaana	‘pijuayo’ palm season; year	year	year-1
204	1424	YELLOW	nɨyana			
205	1213	YOU	kina=			
