ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
665	to drink	Resigaro	Arawakan	iʔdú	iʔdú	i ʔ d u	2317	3841	i ʔ d u			None	Huber2021
666	to eat	Resigaro	Arawakan	aʔmitú	aʔmitú	a ʔ m i t u	2339	3875	a ʔ m i t u			None	Huber2021
667	to bite	Resigaro	Arawakan	em̥ú	em̥ú	e m̥ u	2188	3626	e m̥ u			None	Huber2021
668	see	Resigaro	Arawakan	tsʰéní	tsʰéní	tsʰ e n i	1712	2832	tsʰ e n i			None	Huber2021
669	to hear	Resigaro	Arawakan	héʔmú	héʔmú	h e ʔ m u	2456	4076	h e ʔ m u			None	Huber2021
670	to know (facts)	Resigaro	Arawakan	manaá tóʔ	manaá tóʔ	m a n aː + t o ʔ	2525	4209 4210	m a n aː + t o ʔ			None	Huber2021
671	sleep	Resigaro	Arawakan	ímú	ímú	i m u	1833	3018	i m u			None	Huber2021
672	to die	Resigaro	Arawakan	kainée ʤú	kainée ʤú	k a i n eː + dʒ u	2284	3787 3788	k a i n eː + dʒ u			None	Huber2021
673	to kill	Resigaro	Arawakan	kainée kʰú	kainée kʰú	k a i n eː + kʰ u	2514	4182 4183	k a i n eː + kʰ u			None	Huber2021
674	to swim	Resigaro	Arawakan	oʔβápú	oʔβápú	o ʔ β a p u	2767	4599	o ʔ β a p u			None	Huber2021
675	to fly	Resigaro	Arawakan	adú	adú	a d u	2414	2344	- - - a d u			None	Huber2021
676	to walk	Resigaro	Arawakan	híʔβu	híʔβu	h i ʔ β u	2851	4761	h i ʔ β u			None	Huber2021
677	to come	Resigaro	Arawakan	tsaʔnú	tsaʔnú	td a ʔ n u	2240	3716	td a ʔ n u			None	Huber2021
678	to give	Resigaro	Arawakan	aaʔní	aaʔní	aː ʔ n i	2435	4047	aː ʔ n i			None	Huber2021
679	say	Resigaro	Arawakan	kemú	kemú	k e m u	1677	2761	k e m u			None	Huber2021
680	red	Resigaro	Arawakan	kedáβííʔ	kedáβííʔ	k e d a β iː ʔ	1504	2475	k e d a β iː ʔ			None	Huber2021
681	green	Resigaro	Arawakan	ipogíʔ	ipogíʔ	i p o g i ʔ	830	1328	i p o g i ʔ			None	Huber2021
682	new	Resigaro	Arawakan	beʔé	beʔé	b e ʔ e	1353	2194	b e ʔ e			None	Huber2021
683	dry (substance)	Resigaro	Arawakan	makádú	makádú	m a k a d u	412	660	m a k a d u			None	Huber2021
684	name	Resigaro	Arawakan	iiβú	iiβú	iː β u	1280	2096	iː β u			None	Huber2021
685	how	Resigaro	Arawakan	hidéʔhee	hidéʔhee	h i d e ʔ h eː	981	1605	h i d e ʔ h eː			None	Huber2021
686	when?	Resigaro	Arawakan	hideeʔtsí	hideeʔtsí	h i d eː ʔ td i	3039	5112	h i d eː ʔ td i			None	Huber2021
687	where?	Resigaro	Arawakan	henéé	henéé	h e n eː	3054	5138	h e n eː			None	Huber2021
688	here	Resigaro	Arawakan	βeʔi	βeʔi	β e ʔ i	965	1570	β e ( ʔ i )			None	Huber2021
689	there	Resigaro	Arawakan	neé	neé	n eː	2068	3401	n eː			None	Huber2021
690	other	Resigaro	Arawakan	apáapí	apáapí	a p aː p i	1467	2414	a p aː p i			None	Huber2021
691	few	Resigaro	Arawakan	ooʤaʤáʔ	ooʤaʤáʔ	oː dʒ a dʒ a ʔ	622	999	oː dʒ a dʒ a ʔ			None	Huber2021
692	fog	Resigaro	Arawakan	iítsʰú	iítsʰú	iː tsʰ u	724	1160	iː tsʰ u			None	Huber2021
693	to flow	Resigaro	Arawakan	oʔkón̥ó	oʔkón̥ó	o ʔ k o n̥ o	2398	3988	o ʔ k o n̥ o			None	Huber2021
694	sea (ocean)	Resigaro	Arawakan	témooú	témooú	t e m oː u	1693	2796	t e m oː u			None	Huber2021
695	wet	Resigaro	Arawakan	patsʰánuʔ	patsʰánuʔ	p a tsʰ a n u ʔ	3007	5057	p a tsʰ a n u ʔ			None	Huber2021
696	to wash	Resigaro	Arawakan	hipu	hipu	h i p u	2861	4784	h i p u			None	Huber2021
697	worm	Resigaro	Arawakan	naʔí	naʔí	n a ʔ i	3220	5412	n a ʔ i			None	Huber2021
698	worm	Resigaro	Arawakan	omáapí	omáapí	o m aː p i	3227	5419	o m aː p i			None	Huber2021
699	wing	Resigaro	Arawakan	aʔnáapí	aʔnáapí	a ʔ n aː p i	3160	5314	a ʔ n aː p i			None	Huber2021
700	with (accompanying)	Resigaro	Arawakan	neé	neé	n eː	3174	5334	n eː			None	Huber2021
701	in	Resigaro	Arawakan	gikó	gikó	g i k o	1030	1686	g i k o ( - - )			None	Huber2021
702	at	Resigaro	Arawakan	ná	ná	n a	74	133	n a			None	Huber2021
703	if	Resigaro	Arawakan	tsíá	tsíá	td i a	1020	1664	td i a			None	Huber2021
704	ice	Resigaro	Arawakan	hooníʔiʔβotʰoonú	hooníʔiʔβotʰoonú	h oː n i ʔ i ʔ β o tʰ oː n u	1010	1653	h oː n i ʔ i ʔ β o tʰ oː n u			None	Huber2021
705	to freeze	Resigaro	Arawakan	taa ʤú	taa ʤú	t aː + dʒ u	2421	4028 4029	t aː + dʒ u			None	Huber2021
706	child (young person rather than as relationship term)	Resigaro	Arawakan	ʤaánú	ʤaánú	dʒ aː n u	311	509	dʒ aː n u			None	Huber2021
707	to cut	Resigaro	Arawakan	tuu kʰú	tuu kʰú	t uː + kʰ u	2260	3752 3753	t uː + kʰ u			None	Huber2021
708	wide	Resigaro	Arawakan	ʤíʤaagú	ʤíʤaagú	dʒ i dʒ aː g u	3112	5238	dʒ i dʒ aː g u			None	Huber2021
709	narrow	Resigaro	Arawakan	ooʤaʤáʔ	ooʤaʤáʔ	oː dʒ a dʒ a ʔ	1296	2121	oː dʒ a dʒ a ʔ			None	Huber2021
710	far	Resigaro	Arawakan	ʤaβákúʔ	ʤaβákúʔ	dʒ a β a k u ʔ	550	884	dʒ a β a k u ʔ			None	Huber2021
711	near	Resigaro	Arawakan	aiʤán̥úʔ	aiʤán̥úʔ	a i dʒ a n̥ u ʔ	1312	2142	a i dʒ a n̥ u ʔ			None	Huber2021
712	thick	Resigaro	Arawakan	ʤíʤaagí	ʤíʤaagí	dʒ i dʒ aː g i	2103	3476	dʒ i dʒ aː g i			None	Huber2021
713	thin	Resigaro	Arawakan	ooʤa	ooʤa	oː dʒ a	2118	3501	oː dʒ a			None	Huber2021
714	short	Resigaro	Arawakan	matsʰóʔ	matsʰóʔ	m a tsʰ o ʔ	1768	2916	m a tsʰ o ʔ			None	Huber2021
715	heavy	Resigaro	Arawakan	hiʒan̥iiʔ	hiʒan̥iiʔ	h i ʒ a n̥ iː ʔ	948	1544	h i ʒ a n̥ iː ʔ			None	Huber2021
716	dull (knife)	Resigaro	Arawakan	nií tsóʔβiiʔ	nií tsóʔβiiʔ	n iː + td o ʔ β iː ʔ	426	681 682	n iː + td o ʔ β iː ʔ			None	Huber2021
717	sharp (as knife)	Resigaro	Arawakan	tsóʔβiiʔ tsú	tsóʔβiiʔ tsú	td o ʔ β iː ʔ + td u	1749	2889 2890	td o ʔ β iː ʔ + td u			None	Huber2021
718	dirty	Resigaro	Arawakan	tsoʔkóʔ	tsoʔkóʔ	td o ʔ k o ʔ	369	595	td o ʔ k o ʔ			None	Huber2021
719	rotten (especially log)	Resigaro	Arawakan	amaaʔkátsʰí	amaaʔkátsʰí	a m aː ʔ k a tsʰ i	1625	2677	a m aː ʔ k a tsʰ i			None	Huber2021
720	smooth	Resigaro	Arawakan	heʔníʔ	heʔníʔ	h e ʔ n i ʔ	1888	3105	h e ʔ n i ʔ			None	Huber2021
721	straight	Resigaro	Arawakan	tsíʔkíʔ	tsíʔkíʔ	td i ʔ k i ʔ	1996	3278	td i ʔ k i ʔ			None	Huber2021
722	right (correct)	Resigaro	Arawakan	hameeʔn̥áʔoo	hameeʔn̥áʔoo	h a m eː ʔ n̥ a ʔ oː	1520	2507	h a m eː ʔ n̥ a ʔ oː			None	Huber2021
723	left (hand)	Resigaro	Arawakan	apáʔmíʔosí	apáʔmíʔosí	a p a ʔ m i ʔ o s i	1083	1781	a p a ʔ m i ʔ o s i			None	Huber2021
724	right (hand)	Resigaro	Arawakan	kaáʃoʔosí	kaáʃoʔosí	k aː ʃ o ʔ o s i	1538	2535	k aː ʃ o ʔ o s i			None	Huber2021
725	to pull	Resigaro	Arawakan	kʰaʔ kʰú	kʰaʔ kʰú	kʰ a ʔ + kʰ u	2583	4303 4304	kʰ a ʔ + kʰ u			None	Huber2021
726	to push	Resigaro	Arawakan	ɸíi kʰú	ɸíi kʰú	ɸ iː + kʰ u	2597	4327 4328	ɸ iː + kʰ u			None	Huber2021
727	to throw	Resigaro	Arawakan	píʔko	píʔko	p i ʔ k o	2798	4657	p i.ʔ k o			None	Huber2021
728	to split	Resigaro	Arawakan	kʰoβáʔ kʰú	kʰoβáʔ kʰú	kʰ o β a ʔ + kʰ u	2693	4476 4477	kʰ o β a ʔ + kʰ u			None	Huber2021
729	to dig	Resigaro	Arawakan	híʔʒo	híʔʒo	h i ʔ ʒ o	2300	3817	h i ʔ ʒ o			None	Huber2021
730	to tie	Resigaro	Arawakan	hipon̥ú	hipon̥ú	h i p o n̥ u	2816	4692	h i p o n̥ u			None	Huber2021
731	to sew	Resigaro	Arawakan	tsanin̥ú	tsanin̥ú	td a n i n̥ u	2637	4387	td a n i n̥ u			None	Huber2021
732	to fall (drop rather than topple)	Resigaro	Arawakan	haʔβanú	haʔβanú	h a ʔ β a n u	2362	3919	h a ʔ β a n u			None	Huber2021
733	to swell	Resigaro	Arawakan	fóo kʰú	fóo kʰú	f oː + kʰ u	2749	4575 4576	f oː + kʰ u			None	Huber2021
734	to think	Resigaro	Arawakan	βáfó hénotú	βáfó hénotú	β a f o + h e n o t u	2783	4628 4629	β a f o + h e n o t u			None	Huber2021
735	to sing	Resigaro	Arawakan	hadáʔpú	hadáʔpú	h a d a ʔ p u	2652	4410	h a d a ʔ p u			None	Huber2021
736	to smell (perceive odor)	Resigaro	Arawakan	siiʔ kʰú	siiʔ kʰú	s iː ʔ + kʰ u	2667	4434 4435	s iː ʔ + kʰ u			None	Huber2021
737	to vomit	Resigaro	Arawakan	iʔkan̥ú	iʔkan̥ú	i ʔ k a n̥ u	2837	4735	i ʔ k a n̥ u			None	Huber2021
738	to suck	Resigaro	Arawakan	sooʔ kʰú	sooʔ kʰú	s oː ʔ + kʰ u	2734	4546 4547	s oː ʔ + kʰ u			None	Huber2021
739	to blow (of wind)	Resigaro	Arawakan	ɸóo kʰú	ɸóo kʰú	ɸ oː + kʰ u	2202	3653 3654	ɸ oː + kʰ u			None	Huber2021
740	to fear	Resigaro	Arawakan	íɸú	íɸú	i ɸ u	2376	3948	i ɸ u			None	Huber2021
741	to squeeze	Resigaro	Arawakan	ɲ̥eʔ kʰú	ɲ̥eʔ kʰú	ɲ̥ e ʔ + kʰ u	2703	4494 4495	ɲ̥ e ʔ + kʰ u			None	Huber2021
742	to hold (in hand)	Resigaro	Arawakan	eke kʰú	eke kʰú	e k e + kʰ u	2483	4131 4132	e k e + kʰ u			None	Huber2021
743	dust	Resigaro	Arawakan	hípoʤíhú	hípoʤíhú	h i p o dʒ i h u	442	710	h i p o dʒ i h u			None	Huber2021
744	to live	Resigaro	Arawakan	an̥iigí	an̥iigí	a n̥ iː g i	2560	4265	a n̥ iː g i			None	Huber2021
745	rope	Resigaro	Arawakan	hipon̥áuuʔó	hipon̥áuuʔó	h i p o n̥ a uː ʔ o	1607	2648	h i p o n̥ a uː ʔ o			None	Huber2021
746	tongue	WitotoMinica	Huitotoan	iɯ́ɸe	iɯ́ɸe	i ɯ ɸ e	2890	4828	i ɯ ɸ e			None	Huber2021
747	mouth	WitotoMinica	Huitotoan	ɸúe	ɸúe	ɸ u e	1257	2062	ɸ u e			None	Huber2021
748	tooth (front rather than molar)	WitotoMinica	Huitotoan	íθido	íθido	i θ i + d o	2907	4860 545	i θ i + d o			None	Huber2021
749	nose	WitotoMinica	Huitotoan	dóɸo	dóɸo	d o + ɸ o	1388	2264 1671	d o + ɸ o			None	Huber2021
750	eye	WitotoMinica	Huitotoan	uíhɯ	uíhɯ	u.i h ɯ	538	855	u.i h ɯ			None	Huber2021
751	ear	WitotoMinica	Huitotoan	héɸo	héɸo	h e ɸ o	472	750	h e ɸ o			None	Huber2021
752	head	WitotoMinica	Huitotoan	ɯɸókɯ	ɯɸókɯ	ɯ ɸ o + k ɯ	921	1485 1529	ɯ ɸ o + k ɯ			head-CLF:ROUND	Huber2021
753	neck	WitotoMinica	Huitotoan	kɯmóhɯ	kɯmóhɯ	k ɯ m o + h ɯ	1329	2163 1650	k ɯ m o + h ɯ			neck-CLF	Huber2021
754	neck	WitotoMinica	Huitotoan	kɯ́maɯ	kɯ́maɯ	k ɯ m a + ɯ	1329	2163 2424	k ɯ m a + ɯ			None	Huber2021
755	neck	WitotoMinica	Huitotoan	kɯ́moɯ	kɯ́moɯ	k ɯ m o + ɯ	1329	2163 2424	k ɯ m o + ɯ			None	Huber2021
756	neck	WitotoMinica	Huitotoan	kɯmókairo	kɯmókairo	k ɯ m o + k a i ɾ o	1329	2163 1652	k ɯ m o + k a i ɾ o			neck-CLF:LONGISH.FLEX	Huber2021
757	belly	WitotoMinica	Huitotoan	hébe	hébe	h e b e	166	274	h e b e			None	Huber2021
758	belly	WitotoMinica	Huitotoan	hébekɯ	hébekɯ	h e b e + k ɯ	166	274 279	h e b e + k ɯ			None	Huber2021
759	belly	WitotoMinica	Huitotoan	moi idu	moi idu	m o i + i d u	175	284 275	m o i + - i d u			None	Huber2021
760	back (person's)	WitotoMinica	Huitotoan	emódo	emódo	e m o d o	94	166	( - ) e m o d o			None	Huber2021
761	back (person's)	WitotoMinica	Huitotoan	heráɯkɯ	heráɯkɯ	h e ɾ aɯ + k ɯ	95	167 108	h e ɾ aɯ + k ɯ			back-CLF:INHER	Huber2021
762	back (person's)	WitotoMinica	Huitotoan	ɸekániko	ɸekániko	ɸ e k a n i k o	100	173	ɸ e k a n i k o			None	Huber2021
763	hand	WitotoMinica	Huitotoan	ónoɯ	ónoɯ	o n o + ɯ	873	1395 1496	o n o + ɯ			None	Huber2021
764	leg	WitotoMinica	Huitotoan	ɯdá kairo	ɯdá kairo	ɯ d a + k ai ɾ o	1104	1812 1813	ɯ d a + k ai ɾ o			None	Huber2021
765	foot	WitotoMinica	Huitotoan	éɯba	éɯba	e ɯ + b a	749	1193 1194	e ɯ + b a			None	Huber2021
766	bone	WitotoMinica	Huitotoan	íkuru	íkuru	i k u ɾ u	299	484	i k u ɾ u			None	Huber2021
767	blood	WitotoMinica	Huitotoan	dɯ́e	dɯ́e	d ɯ + e	269	424 2240	( - ) d ɯ + e			None	Huber2021
768	heart	WitotoMinica	Huitotoan	komékɯ	komékɯ	k o m e + k ɯ	940	1525 1530	k o m e + k ɯ			None	Huber2021
769	woman	WitotoMinica	Huitotoan	rɯìŋo	rɯìŋo	ɾ ɯ.i + ŋ o	3196	1981 1982	ɾ ɯ.i + ŋ o			None	Huber2021
770	husband	WitotoMinica	Huitotoan	ɯìni	ɯìni	ɯ.i n i	999	1634	ɯ.i n i			None	Huber2021
771	wife	WitotoMinica	Huitotoan	áɯ	áɯ	a.ɯ	3129	5265	a.ɯ			None	Huber2021
772	father	WitotoMinica	Huitotoan	móo	móo	m oː	581	930	m oː			None	Huber2021
773	mother	WitotoMinica	Huitotoan	éi	éi	e.i	1218	1996	e.i			None	Huber2021
774	mother	WitotoMinica	Huitotoan	éiɲo	éiɲo	e.i + ɲ o	1218	1996 1592	e.i + ɲ o			mother-CLF:AN.F	Huber2021
775	old	WitotoMinica	Huitotoan	éiroma	éiroma	e i + ɾ o + m a	1434	2352 1674 1673	e i + ɾ o + m a			None	Huber2021
776	old	WitotoMinica	Huitotoan	éikome	éikome	e i + k o m e	1434	2352 1675	e i + k o m e			mature-? /kome/ really looks like Boran forms.	Huber2021
777	water	WitotoMinica	Huitotoan	háɯnoi	háɯnoi	h a.ɯ n o.i	2979	4993	h a.ɯ n o.i			None	Huber2021
778	river	WitotoMinica	Huitotoan	imáni	imáni	i + m a n i	1559	2565 1697	i + m a n i			None	Huber2021
779	river	WitotoMinica	Huitotoan	íʤe	íʤe	i + dʒ e	1571	2565 2577	i + dʒ e			None	Huber2021
780	lake	WitotoMinica	Huitotoan	hórai	hórai	h o ɾ ai	1049	1725	h o ɾ ai ( - - )			None	Huber2021
781	fire	WitotoMinica	Huitotoan	irai	irai	i ɾ ai	655	1040	i ɾ ai			None	Huber2021
782	ashes	WitotoMinica	Huitotoan	híθeɸo	híθeɸo	h i θ e ɸ o	66	115	h i θ e ɸ o			None	Huber2021
783	smoke (of fire)	WitotoMinica	Huitotoan	úiʤɯe	úiʤɯe	ui + dʒ ɯ + e	1876	3083 341 342	ui + dʒ ɯ + e			None	Huber2021
784	sky	WitotoMinica	Huitotoan	móna	móna	m o n a	1813	2984	m o n a			None	Huber2021
785	wind	WitotoMinica	Huitotoan	hairíɸo	hairíɸo	h a.i ɾ i ɸ o	3148	5293	h a.i ɾ i ɸ o			None	Huber2021
786	sun	WitotoMinica	Huitotoan	hitóma	hitóma	h i t o m a	2026	3320	h i t o m a			None	Huber2021
787	star	WitotoMinica	Huitotoan	ukúdu	ukúdu	u k u + d u	1940	3180 378	u k u ( - - ) + d u			None	Huber2021
788	day (opposite of night rather than time measure)	WitotoMinica	Huitotoan	móna	móna	m o n a	349	562	m o n a			None	Huber2021
789	night	WitotoMinica	Huitotoan	náɯɯo	náɯɯo	n a ɯː o	1369	2228	( - - - ) n a ɯː o ( - - - - )			None	Huber2021
790	night	WitotoMinica	Huitotoan	náɯo	náɯo	n a ɯ o	1369	2228	( - - - ) n a ɯ o ( - - - - )			None	Huber2021
791	earth (soil)	WitotoMinica	Huitotoan	énɯe	énɯe	e n ɯ + e	493	787 1451	e n ɯ + e			None	Huber2021
792	stone	WitotoMinica	Huitotoan	noɸɯkɯ	noɸɯkɯ	n o ɸ ɯ + k ɯ	1985	3257 412	n o ɸ ɯ + k ɯ			None	Huber2021
793	sand	WitotoMinica	Huitotoan	gúamae	gúamae	g u a m a + e	1662	2737 243	g u a m a + e			None	Huber2021
794	dog	WitotoMinica	Huitotoan	hɯ́ko	hɯ́ko	h ɯ k o	391	629	h ɯ k o			None	Huber2021
795	tail	WitotoMinica	Huitotoan	óda	óda	o d a	2044	3354	o d a			None	Huber2021
796	snake	WitotoMinica	Huitotoan	háio	háio	h ai + o	1910	3137 2456	h ai + o			None	Huber2021
797	bird	WitotoMinica	Huitotoan	óɸokuiɲo	óɸokuiɲo	o ɸ o + k ui ɲ o	224	371 366	o ɸ o + k ui ɲ o			None	Huber2021
798	bird	WitotoMinica	Huitotoan	ʤámaikuiɲo	ʤámaikuiɲo	dʒ a m ai + k ui ɲ o	224	1423 366	dʒ a m ai + k ui ɲ o			None	Huber2021
799	fish	WitotoMinica	Huitotoan	ʤɯ́kɯaɯ	ʤɯ́kɯaɯ	dʒ ɯ k ɯ + aɯ	673	1073 1032	dʒ ɯ k ɯ + aɯ			None	Huber2021
800	louse	WitotoMinica	Huitotoan	ɯbóma	ɯbóma	ɯ b o + m a	1157	1898 1578	ɯ b o + m a			None	Huber2021
801	tree	WitotoMinica	Huitotoan	aména	aména	a m e + n a	2914	4885 1884	a m e ( - - ) + n a			None	Huber2021
802	leaf	WitotoMinica	Huitotoan	íibe	íibe	iː + b e	1063	1556 1743	iː + b e			?-CLF:LEAF	Huber2021
803	flower	WitotoMinica	Huitotoan	θáɸia	θáɸia	θ a ɸ i + a	703	1129 1460	θ a ɸ i + a			None	Huber2021
804	to rub	WitotoMinica	Huitotoan	ría	ría	ɾ i a	2620	4361	ɾ i a			None	Huber2021
805	root	WitotoMinica	Huitotoan	háinao	háinao	h a i + n a + o	1594	2619 1702 1703	h a i + n a + o			None	Huber2021
806	seed	WitotoMinica	Huitotoan	íhɯ	íhɯ	i + h ɯ	1737	255 2869	i + h ɯ			None	Huber2021
807	stick (of wood)	WitotoMinica	Huitotoan	ráda	ráda	ɾ a + d a	1956	3210 409	ɾ a + d a			None	Huber2021
808	stick (of wood)	WitotoMinica	Huitotoan	radóθi	radóθi	ɾ a + d o θ i	1956	3210 410	ɾ a + d o θ i			None	Huber2021
809	stick (of wood)	WitotoMinica	Huitotoan	aména	aména	a m e n a	1969	3224	a m e n a			None	Huber2021
810	grass	WitotoMinica	Huitotoan	ráitɯaɯ	ráitɯaɯ	ɾ a.i t ɯ + aɯ	815	1300 1490	ɾ a.i t ɯ + aɯ			grass-PL	Huber2021
811	feather (larger feathers rather than down)	WitotoMinica	Huitotoan	óogodo	óogodo	oː g o + d o	607	971 2324	oː g o + d o			None	Huber2021
812	salt	WitotoMinica	Huitotoan	ɯ́aiθaɯ	ɯ́aiθaɯ	ɯ a.i θ a.ɯ	1642	2707	ɯ a.i θ a.ɯ			None	Huber2021
813	one	WitotoMinica	Huitotoan	da	da	d a	1446	1677	d a			None	Huber2021
814	one	WitotoMinica	Huitotoan	dáa	dáa	d aː	1446	1677	d aː			None	Huber2021
815	two	WitotoMinica	Huitotoan	ména	ména	m e n a	2948	4943	m e n a			None	Huber2021
816	three	WitotoMinica	Huitotoan	daámani	daámani	d a + a + m a + n i	2173	3586 3602 518 519	d a + a + m a + n i			None	Huber2021
817	four	WitotoMinica	Huitotoan	naga ámade	naga ámade	n a g a + a + m a + d e	772	1238 1240 1463 1474	n a g a + a + m a + d e			None	Huber2021
818	four	WitotoMinica	Huitotoan	ɸɯ́goménariede	ɸɯ́goménariede	ɸ ɯ g o + m e n a + ɾ i e + d e	773	1241 1239 1476 1474	ɸ ɯ g o + m e n a + ɾ i e + d e			?-two-CLF:FEW-LK.3	Huber2021
819	five	WitotoMinica	Huitotoan	hubekuiro	hubekuiro	h u + b e + k ui ɾ o	694	1105 1112 1457	h u + b e + k ui ɾ o			None	Huber2021
820	I	WitotoMinica	Huitotoan	kúe	kúe	k u e	2	2	k u e			None	Huber2021
821	thou	WitotoMinica	Huitotoan	o	o	o	2149	3559	o			None	Huber2021
822	he	WitotoMinica	Huitotoan	aɸémɯe	aɸémɯe	a ɸ e + m ɯe	895	1438 1500	a ɸ e + m ɯe			DEM-CLF:PR.M	Huber2021
823	we	WitotoMinica	Huitotoan	kaɯ	kaɯ	k a.ɯ	2987	1904	k a.ɯ			None	Huber2021
824	we	WitotoMinica	Huitotoan	kóko	kóko	k o k o	2989	1905	k o k o			None	Huber2021
825	we	WitotoMinica	Huitotoan	káɯŋaɯ	káɯŋaɯ	k a.ɯ ŋ a.ɯ	2987	1906	k a.ɯ ŋ a.ɯ			None	Huber2021
826	ye	WitotoMinica	Huitotoan	ómoɯ	ómoɯ	o m o.ɯ	3244	2014	o m o.ɯ			None	Huber2021
827	ye	WitotoMinica	Huitotoan	ómɯkoɯ	ómɯkoɯ	o m ɯ k oɯ	3244	5451	o m ɯ k oɯ			None	Huber2021
828	they	WitotoMinica	Huitotoan	aɸémakɯ	aɸémakɯ	a ɸ e + m a + k ɯ	2088	458 3439 465	a ɸ e + m a + k ɯ			None	Huber2021
829	they	WitotoMinica	Huitotoan	íaiʤɯnoɯ	íaiʤɯnoɯ	i + ai + dʒ ɯ + n oɯ	2088	456 459 466 457	i + ai + dʒ ɯ + n oɯ			None	Huber2021
830	they	WitotoMinica	Huitotoan	íaɯŋuaɯ	íaɯŋuaɯ	i + aɯ + ŋ u + aɯ	2093	456 459 3444 460	i + aɯ + ŋ u + aɯ			None	Huber2021
831	big	WitotoMinica	Huitotoan	áiʤue	áiʤue	ai dʒ u + e	199	328 1421	ai dʒ u + e			None	Huber2021
832	small	WitotoMinica	Huitotoan	dúerede	dúerede	d u e + ɾ e + d e	1857	3057 338 339	d u e + ɾ e + d e			None	Huber2021
833	small	WitotoMinica	Huitotoan	híɯrede	híɯrede	h i ɯ + ɾ e + d e	1858	3058 338 339	h i.ɯ + ɾ e + d e			None	Huber2021
834	good	WitotoMinica	Huitotoan	ɲúera	ɲúera	ɲ u e ɾ a	794	1270	ɲ u e ɾ a			Very possible /-ra/ 'ATT'.	Huber2021
835	bad (deleterious or unsuitable)	WitotoMinica	Huitotoan	ɸɯénìde	ɸɯénìde	ɸ ɯ e + n i + d e	118	201 158 116	ɸ ɯ e + n i + d e			None	Huber2021
836	white	WitotoMinica	Huitotoan	úθerede	úθerede	u θ e + ɾ e + d e	3082	5181 1927 1951	u θ e + ɾ e + d e			None	Huber2021
837	black	WitotoMinica	Huitotoan	hítɯrede	hítɯrede	h i t ɯ + ɾ e + d e	254	405 1426 1427	h i t ɯ ( - - ) + ɾ e + d e			None	Huber2021
838	cloud	WitotoMinica	Huitotoan	úiʤɯe	úiʤɯe	ui dʒ ɯ + e	330	534 2250	ui dʒ ɯ + e			None	Huber2021
839	this	WitotoMinica	Huitotoan	bíe	bíe	b i + e	2136	3527 499	b i + e			None	Huber2021
840	that	WitotoMinica	Huitotoan	baie	baie	b a.i + e	2059	3376 452	b a.i ( - - ) + e			None	Huber2021
841	who?	WitotoMinica	Huitotoan	bu	bu	b u	3093	5206	b u			None	Huber2021
842	what?	WitotoMinica	Huitotoan	mɯnɯ́ka	mɯnɯ́ka	m ɯ n ɯ k a	3028	5090	m ɯ n ɯ k a			?	Huber2021
843	not	WitotoMinica	Huitotoan	dáma íte	dáma íte	d a m a + i t e	1415	2310 2311	d a m a + i t e			None	Huber2021
844	not	WitotoMinica	Huitotoan	ɲe	ɲe	ɲ e	1407	2302	( - - ) ɲ e			None	Huber2021
845	all (of a number)	WitotoMinica	Huitotoan	nána	nána	n a n a	27	50	n a n a			None	Huber2021
846	many	WitotoMinica	Huitotoan	áiʤo	áiʤo	a.i dʒ o	1185	1945	a.i dʒ o			None	Huber2021
847	many	WitotoMinica	Huitotoan	áiʤoráa	áiʤoráa	a.i dʒ o + ɾ aː	1185	1945 1582	a.i dʒ o + ɾ aː			/ra/ neutral classifier	Huber2021
848	long	WitotoMinica	Huitotoan	áre	áre	a ɾ e	1142	1872	a ɾ e			None	Huber2021
849	bark	WitotoMinica	Huitotoan	igóraɯ	igóraɯ	i + g o ɾ aɯ	137	765 230	i + g o ɾ aɯ			None	Huber2021
850	meat (flesh)	WitotoMinica	Huitotoan	ʤɯ́kɯai	ʤɯ́kɯai	dʒ ɯ k ɯ + ai	1198	1588 1586	dʒ ɯ k ɯ + ai			fish-?	Huber2021
851	meat (flesh)	WitotoMinica	Huitotoan	ɯeθɯ	ɯeθɯ	ɯ e + θ ɯ	1198	1589 1587	ɯ e + θ ɯ			?-CLF:OVAL.SMALL	Huber2021
852	egg	WitotoMinica	Huitotoan	hɯ́gɯ	hɯ́gɯ	h ɯ + g ɯ	513	819 1453	h ɯ + g ɯ			None	Huber2021
853	belly	WitotoMinica	Huitotoan	hébe	hébe	h e b e	166	274	h e b e			None	Huber2021
854	belly	WitotoMinica	Huitotoan	hébekɯ	hébekɯ	h e b e + k ɯ	166	274 279	h e b e + k ɯ			None	Huber2021
855	liver	WitotoMinica	Huitotoan	bánoi	bánoi	b a n o i	1120	1837	b a n o i			None	Huber2021
856	to drink	WitotoMinica	Huitotoan	hiróde	hiróde	h i ɾ o + d e	2324	3848 2285	h i ɾ o + d e			None	Huber2021
857	to eat	WitotoMinica	Huitotoan	rɯ́te	rɯ́te	ɾ ɯ + t e	2345	1767 3882	ɾ ɯ + t e			'eat meat'	Huber2021
858	to eat	WitotoMinica	Huitotoan	rɯéde	rɯéde	ɾ ɯ e + d e	2345	1772 3882	ɾ ɯ e + d e			/rɨ-e/ EAT.MEAT-CLF:G?	Huber2021
